stock_code,transaction_date,pattern_type,pattern_explanation
603316.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600396.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603459.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603773.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603007.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600152.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600156.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600530.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605006.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
600379.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603779.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600936.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600208.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600719.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600726.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600172.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
605287.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603407.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600758.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603344.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603318.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600589.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603095.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600578.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603248.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600611.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603608.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600676.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603601.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603538.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600903.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603435.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600736.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603399.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600857.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600076.SH,20260709,连续小单推升,单笔成交偏小但买入力度持续，股价重心缓慢上移，属于较隐蔽的推升形态。
603330.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600382.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603082.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
605389.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605366.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605299.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600186.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605162.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605069.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603045.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600303.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603717.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600330.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603005.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
603721.SH,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
601991.SH,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603324.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603937.SH,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688496.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603008.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
601890.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
688509.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605066.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600203.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603918.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603679.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600293.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600527.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603936.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603289.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600127.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600448.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600479.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600759.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600768.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600782.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600785.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600796.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600866.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
601999.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603028.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603075.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603118.SH,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603331.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603359.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603686.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603700.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688560.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600161.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
601117.SH,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600009.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603893.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
601186.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600893.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688082.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
601009.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600025.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688008.SH,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
601328.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
601939.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688169.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
601872.SH,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
601398.SH,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600018.SH,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
