stock_code,transaction_date,pattern_type,pattern_explanation
6XXXXX,20260608,量化T0,利用Level2行情数据高频捕捉盘口价差，自动完成T0回转
6XXXXX,20260608,散户博弈,全天成交量低迷，缺乏主力引导，散户之间互相换手
6XXXXX,20260608,尾盘突袭,尾盘最后15分钟突然放量拉升，制造强势收盘形态
6XXXXX,20260608,散户博弈,成交以小单为主且方向混乱，呈现典型散户博弈特征
6XXXXX,20260608,散户博弈,成交以小单为主且方向混乱，呈现典型散户博弈特征
6XXXXX,20260608,日内套利,资金在一定价格区间来回高抛低吸
6XXXXX,20260608,尾盘突袭,临近收盘大单突击买入，快速封住涨停板
6XXXXX,20260608,尾盘突袭,收盘前10分钟集中砸盘，制造恐慌出货
6XXXXX,20260608,尾盘突袭,尾盘最后半小时异常放量，资金突击建仓影响收盘价
6XXXXX,20260608,散户博弈,盘口缺乏大单支撑，价格随散户情绪小幅波动
6XXXXX,20260608,量化T0,程序化拆单后快速买入卖出，单次持仓不超过数分钟
6XXXXX,20260608,尾盘突袭,尾盘最后15分钟突然放量拉升，制造强势收盘形态
6XXXXX,20260608,散户博弈,盘口缺乏大单支撑，价格随散户情绪小幅波动
6XXXXX,20260608,日内套利,资金围绕VWAP上下反复交易，赚取均值回复利润
6XXXXX,20260608,量化T0,程序在支撑位自动买入、压力位自动卖出，单日多次循环
6XXXXX,20260608,日内套利,早盘低吸午后高抛，利用日内震荡获取价差收益
6XXXXX,20260608,量化T0,算法在分时均线上下反复高频买卖，赚取日内价差
6XXXXX,20260608,散户博弈,全天成交量低迷，缺乏主力引导，散户之间互相换手
6XXXXX,20260608,大单吸筹,资金大笔挂单买入，短时间内集中扫货
6XXXXX,20260608,量化T0,量化模型在盘中识别到短期偏离后自动挂单套利
