stock_code,transaction_date,pattern_type,pattern_explanation
603316.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600396.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603459.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603773.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603007.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600152.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600156.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600530.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
605006.SH,20260707,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
600379.SH,20260707,压单吸货,盘口卖压存在但收盘仍维持相对高位，像是边压盘边在回落区间吸收筹码。
603779.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600936.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600208.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600719.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600726.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600172.SH,20260707,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
605287.SH,20260707,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603407.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600758.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603344.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603318.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600589.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603095.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600578.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603248.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600611.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603608.SH,20260707,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
600676.SH,20260707,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603601.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603538.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600903.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603435.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600736.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603399.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600857.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600076.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603330.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600382.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603082.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
605389.SH,20260707,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
605366.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605299.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600186.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605162.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
605069.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603045.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600303.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603717.SH,20260707,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600330.SH,20260707,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603005.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603721.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
601991.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603324.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603937.SH,20260707,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
688496.SH,20260707,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603008.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
601890.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688509.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605066.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600203.SH,20260707,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603918.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603679.SH,20260707,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
600293.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600527.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603936.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603289.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600127.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600448.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600479.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600759.SH,20260707,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600768.SH,20260707,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600782.SH,20260707,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
