stock_code,transaction_date,pattern_type,pattern_explanation
603459.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600664.SH,20260710,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
600821.SH,20260710,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
600192.SH,20260710,连续小单推升,单笔成交偏小但买入力度持续，股价重心缓慢上移，属于较隐蔽的推升形态。
603578.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605305.SH,20260710,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688358.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603895.SH,20260710,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600935.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603683.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603057.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
605028.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
688573.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600456.SH,20260710,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
601868.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600236.SH,20260710,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
603100.SH,20260710,连续小单推升,单笔成交偏小但买入力度持续，股价重心缓慢上移，属于较隐蔽的推升形态。
603776.SH,20260710,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688521.SH,20260710,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600908.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600149.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
601222.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603236.SH,20260710,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
605155.SH,20260710,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
688096.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
688028.SH,20260710,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
688009.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
600354.SH,20260710,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
603113.SH,20260710,连续小单推升,单笔成交偏小但买入力度持续，股价重心缓慢上移，属于较隐蔽的推升形态。
600803.SH,20260710,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600602.SH,20260710,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
