stock_code,transaction_date,pattern_type,pattern_explanation
000001.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000002.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000004.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000006.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000007.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000009.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000010.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000011.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000012.SZ,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
000014.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000016.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000017.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000019.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000020.SZ,20260709,连续小单推升,单笔成交偏小但买入力度持续，股价重心缓慢上移，属于较隐蔽的推升形态。
000021.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000025.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000026.SZ,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
000027.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000028.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000029.SZ,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
000030.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000031.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000032.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000034.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000035.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000036.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000037.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000039.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000042.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000045.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000048.SZ,20260709,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
000049.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000050.SZ,20260709,压单吸货,盘口卖压存在但收盘仍维持相对高位，像是边压盘边在回落区间吸收筹码。
000055.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000056.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000058.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000059.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000060.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000061.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000062.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000063.SZ,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
000065.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000066.SZ,20260709,压单吸货,盘口卖压存在但收盘仍维持相对高位，像是边压盘边在回落区间吸收筹码。
000068.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000069.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000070.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000078.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000088.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000089.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000090.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000096.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000099.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000100.SZ,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
000151.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000153.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000155.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000156.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000157.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000158.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000159.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000166.SZ,20260709,尾盘突袭,尾盘最后一段成交明显放大，股价临近收盘快速抬升，带有集中做强收盘的意味。
000301.SZ,20260709,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
000333.SZ,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
000338.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000400.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000401.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000402.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000403.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000404.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000407.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000408.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000409.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000410.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000411.SZ,20260709,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
000415.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000417.SZ,20260709,大单吸筹,全天维持偏强上攻，成交额与单笔成交偏大，像是主导资金持续承接并主动推高。
000419.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000420.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
000421.SZ,20260709,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
